Author,Medium,Audio1,Audio2,Text,AudioLink1,AudioLink2
Michelle O'Connor,Radio,,,Hand the microphone over to the audience,,
Michelle O'Connor,Radio,Stephen Bradley,,Broadcast sounds rather than voices,assets/sound/T_P__P__N_wordless_ssBradley.mp3,
Michelle O'Connor,Radio,Ed Woodham,Andrew Madey,Assume the radio is the audience,assets/sound/Radio=Audience_Ed.mp3,assets/sound/Andrew_Radio as audience.mp3
Ed Woodham,Print,Stephen Bradley,,Select the first paragraph from a current newspaper article and record yourself reading it backward ending with the headline.,assets/sound/backwards_pg340_McLuhan_reading_ssBradley.mp3,
Ed Woodham,Print,,,Under a pseudonym write a short review (300 words max) of your real or imagined artwork for a major publication.,,
Ed Woodham,Print,,,"Select a recent front-page newspaper article (above the fold). Using the context of the article as inspiration – create an abstract visual, sound, dance, or performance interpretation of it – and document it in any form.",,
Ed Woodham,Print,Stacey Copeland,,Select the last paragraph of a magazine article. Leave the first word capitalized but make all the other capital words lower case. Remove all of the spaces between the words and all of the punctuation except a period in the end. Create something with this final product.,assets/sound/Copeland-Print 1_Select the last paragraph-Ed W.mp3,
Sadie Couture,Audio,Melike Ceylan,,"Change the mix: music in the front, voices in the back",assets/sound/Melike_Audio_v1_Change_the_mix_Sadie.mp3,
Sadie Couture,Audio,,,"Play a piece backwards (not the words, but just the story)",,
Sadie Couture,Audio,Ed Woodham,,"Constantly set up the story/segment, never do it, and then end",assets/sound/Radio=Audience_Story Never Finished_Ed.mp3,
Melike Ceylan,Radio,Kirsten Chervinsky,,"Visit stations at neighbouring frequencies while on air: ask about their day, complain about a noise, or ask if they have any spare piece of equipment that you need.",assets/sound/Noise_Kirsten.mp3,
Melike Ceylan,Radio,Stacey Copeland,,Speak without using your voice.,assets/sound/Copeland-Radio_Speak without_Melike C.mp3,
Melike Ceylan,Telephone,Nicolas Montgermont,Ed Woodham,"Each time you receive a new voice message, replace your existing voicemail greeting with it.",assets/sound/No14_prompt.mp3,assets/sound/Radio=Voice Message_Ed.mp3
Justin Maiman,Radio,Justin Maiman,,"""YouTube-ify"" community radio. Instead of pushing out station produced content to the community via radio transmission, pull it directly from the local community — allow them to upload audio programming, field recordings, meetings, conversations, etc, directly to a server and then broadcast it. Aim to become a user-generated audio streaming service that aggregates and collects community created audio for broadcast.",,
Justin Maiman,Radio,Russell Gendron,,"Broadcast all local high school and amateur sports games (football, tennis, volleyball, etc.) live without announcers and commentators, just the ""nat"" sounds from the game in real time.",assets/sound/Russell - Amateur Live Sports Broadcast Prompt.mp3,
Justin Maiman,Radio,,,"Build a radio transmission tower that regularly, but randomly, narrowcasts the radio signal to smaller and smaller areas, like neighborhoods or even just blocks or specific homes.",,
Nicolas Montgermont,Radio,,,"Fallback : when there is no signals in the radio, use a fallback mode that is playing random files in a folder. These files are produced or selected in the context of a sound residency of one month, by an artist changing every month. (<a href='https://p-node.org'>https://p-node.org</a>)",,
Nicolas Montgermont,Radio,,,"Phone first : when you call a specific phone number, you automatically go live on air, bypassing any show that was playing. (<a href='https://nimon.org/en/radio-symetrique'>https://nimon.org/en/radio-symetrique</a>)",,
Nicolas Montgermont,Radio,Justin Maiman,,"Ubiquitous : Using several physical studios that are streaming live sounds, an online mixer allows to plays on each studio independently.",assets/sound/Ubiquitous Deprogramming Prompt Justin M.mp3,
Russell Gendron,Music,Kirsten Chervinsky,,"Compose something - melody, riff, song - using something other than your primary instrument. Or, take a composition/idea and remove the primary instrument that you made it with.",assets/sound/Instrument_Kirsten.mp3,
Russell Gendron,Film photography,Ed Woodham,,"Choose any colour, go for a walk and whenever you see that colour, take a photo of whatever you imagine that colour is 'looking' at.",assets/sound/Radio=Colors_GreySilverOrangeRedBlue_Ed.mp3,
Russell Gendron,Audio,,,"Using the automation tool in your DAW, create 'peaks' of any effect (try echo if you can't think of one) every 30 seconds, starting from the beginning.",,
Melissa Sarris,Print,Andrew Madey,,"Read a news story while pronouncing every printed letter phonetically, even the the “silent” ones.",assets/sound/Andrew_every syllable.mp3,
Melissa Sarris,Print,Nicolas Montgermont,,Translate a news story into a language you don’t speak and then attempt to read it aloud. (The chosen language could connect with a current refugee crisis.),assets/sound/No25_prompt.mp3,
Melissa Sarris,Print,,,"Starting from the printed page (or print out any news article,) cut up and reassemble the sentences into something new. Attempting to make the new version sensical is optional.",,
Melissa Sarris,Print,Ericka,,Variation: Create one news story that includes a sentence (or just a word?) from every article in one day’s newspaper.,,
Melissa Sarris,Print,,,"A visual exploration: (over)use fonts - change the font (and point size!) repeatedly in every printed story, including the title. The news never looked so good!",,
Stephen Bradley,Radio (public radio space),,,"place 3-5 solar-powered FM or AM receivers, with the volume up, and place the receivers high up in several different trees located in a public greenspace - face the radios towards the sun. tune the receivers within a few degrees of one another such as 90.1, 90.2, 90.3, etc avoiding clear commercial broadcasts. sit under the trees and listen.",,
Stephen Bradley,Radio (public radio space),,,"prepare a number of cheap solar-powered AM or FM radio receivers with magnets on the back of each receiver. turn the volume up as loud as possible, tune each receiver to the weakest station, attach the prepared radios with magnets to the outside surface of 2-3 public transportation busses. take one of the buses and ride it to the end of its route.",,
Stephen Bradley,Radio (public radio space),Sadie Couture,,purchase 5 helium-filled balloons large enough to levitate 1 of the solar-powered AM/FM receivers up into airspace. each ballon should have a 1-meter long string attached tied to the antennae of one of the receivers. tune the radio to the clearest station possible. attach a note to the radio with instructions to detune the station if found. release the ballon/receivers early in the morning of a sunny day. attempt to follow on foot the airborne receivers as far as you can.,assets/sound/Sadie.mp3
Celeste Oram,Radio (public radio),,,"When it comes time for the news on the hour, no newsreaders; no scripts. Only live crosses to man-on-the-street eyewitness accounts.",,
Celeste Oram,Radio (public radio),,,Entirely UNedited pre-records; keep all the ums and fumbles.,,
Celeste Oram,Radio (public radio),,,Languages spoken on air are directly proportionate (i.e. airtime per day) to demographics of languages spoken in the broadcasting region.,,
Andrew Madey,Radio,,,Conduct important interviews only during the graveyard shift.,,
Andrew Madey,Email,,,"Wipe your contacts, then try to reach out to them under a completely unfamiliar address.",,
Andrew Madey,TV,Andy Stuhl,,"Broadcast a slow screen crawl of inane, unrelated technical information during prime-time hours.",assets/sound/andy-andrew-screen-crawl.mp3,
Kirsten Chervinsky,Print,Stacey Copeland,,Take the first paragraph of a news article and <a href='materials/kc-article.html#e'>replace all vowels with the letter “E”</a>,assets/sound/Copeland-Print 2_Take the first paragraph-Kirsten C.mp3,
Kirsten Chervinsky,Print,,,Take the first paragraph of a news article and <a href='materials/kc-article.html#french'>translate all nouns into French</a>,,
Kirsten Chervinsky,Print,Matthew,,Take the first paragraph of a news article and <a href='materials/kc-article.html#octopus'>transcribe the partial article into a perspective of an octopus</a>,,
Andy Stuhl,Radio,Andrew Madey,Michelle O'Connor,"Extend your station identification by noting the problems that arise when you only name your transmitter's municipal location. Instead describe in detail each spot of land, sky, and water that your signal reaches. Start over at the top of each hour.",assets/sound/Andrew_Full aircheck.mp3,assets/sound/Hear_Radio_Promos.mp3
Andy Stuhl,Radio,,,"Move your station into the cloud. Drive to the nearest data center and stream your conversation with the security guards as you explain why you need to set up your transmitter there, where your sound files reside.",,
Andy Stuhl,Radio,,,Move your station into the cloud. Place wires in a puddle to make the electrical connection between your mixing board and your transmitter. Conclude when the puddle evaporates.,,
Matthew Flores,Internet,,,Make a website that can only be accessed in one location.,,
Matthew Flores,Internet,,,Make a website that you have to print out to use.,,
Matthew Flores,Internet,,,Make a website through a game of telephone.,,
Matthew Flores,Internet,,,Make a website that you can only see half of.,,
Jin Zhu,Radio,,,"Alternately broadcast into outer space and inner space, in sync with your exhales and inhales.",,
Jin Zhu,Radio,,,Cater the size of your broadcast to exactly match the size and shape of a family member or friend's current or past residence.,,
Jin Zhu,Archives,Andy Stuhl,,Create an archive (or an item for an archive) of forgetting. Is it possible to create an audio recording of someone forgetting a thing?,assets/sound/andy-jin-archive-forgetting.mp3,
Jin Zhu,Red tape,,,Make the mass or weight of each bureaucratic form you submit directly proportional to the potential consequences it will have on your life or finances.,,
Stacey Copeland,Radio,Andy Stuhl,,Broadcast live from the loudest place in your neighbourhood.,assets/sound/andy-stacey-loudest.mp3,
Stacey Copeland,Print,,,Time sensitive news. Attach a wick to the bottom of the newspaper with instructions to lite the wick before reading.,,
Ricardo Iamuuri Robinson,Radio,Ricardo Iamuuri Robinson,VIDEO,"Broadcast sound collaged commercials of concepts and ideas. (eg. Capitalism, Neoliberalism, Freedom, etc)",assets/video/ricardo.mp4,
